Unnamed: 0,DEFINITION OF RATINGS Mar-19
Ratings,Expected absolute returns over 1A2p rm-1o9nths
BUY,More than 15% May-19
ADD,Between 5% to 15% Jun-19
REDUCE,Between 5% to -10 %
,Jul-19
SELL,More than -10%
